valid,tmpf,dwpf,relh,drct,sknt,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,hour,airport,low_visibility,valid_hour
2024-01-01 00:00:00,75.2,64.4,69.14,160.0,3.0,1012.0,1.3,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,0,VOHS,True,2024-01-01 00:00:00
2024-01-01 00:30:00,78.8,64.4,61.36,80.0,5.0,1012.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,0,VOHS,True,2024-01-01 00:00:00
2024-01-01 01:00:00,77.0,64.4,65.12,140.0,4.0,1013.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-01 01:00:00
2024-01-01 01:30:00,77.0,64.4,65.12,0.0,0.0,1013.0,1.12,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-01 01:00:00
2024-01-01 02:00:00,78.8,64.4,61.36,90.0,5.0,1013.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-01 02:00:00
2024-01-01 02:30:00,77.0,64.4,65.12,50.0,3.0,1014.0,1.06,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-01 02:00:00
2024-01-01 03:00:00,78.8,66.2,65.33,0.0,0.0,1014.0,1.06,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-01 03:00:00
2024-01-01 03:30:00,80.6,64.4,57.84,40.0,6.0,1014.0,1.06,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-01 03:00:00
2024-01-01 04:00:00,80.6,64.4,57.84,150.0,4.0,1015.0,1.06,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,4,VOHS,True,2024-01-01 04:00:00
2024-01-01 04:30:00,82.4,64.4,54.55,120.0,4.0,1015.0,1.06,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,4,VOHS,True,2024-01-01 04:00:00
2024-01-01 05:00:00,84.2,62.6,48.32,150.0,5.0,1015.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,5,VOHS,True,2024-01-01 05:00:00
2024-01-01 05:30:00,84.2,60.8,45.34,160.0,5.0,1014.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,5,VOHS,True,2024-01-01 05:00:00
2024-01-01 06:00:00,87.8,60.8,40.41,0.0,0.0,1014.0,1.3,0.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,6,VOHS,True,2024-01-01 06:00:00
2024-01-01 06:30:00,89.6,62.6,40.69,0.0,0.0,1013.0,1.3,0.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,6,VOHS,True,2024-01-01 06:00:00
2024-01-01 07:00:00,89.6,60.8,38.18,200.0,4.0,1013.0,1.3,4.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,7,VOHS,True,2024-01-01 07:00:00
2024-01-01 07:30:00,87.8,66.2,48.84,270.0,7.0,1012.0,1.3,7.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,7,VOHS,True,2024-01-01 07:00:00
2024-01-01 08:00:00,87.8,66.2,48.84,270.0,7.0,1012.0,1.3,7.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-01 08:00:00
2024-01-01 08:30:00,87.8,68.0,51.98,260.0,8.0,1011.0,1.3,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-01 08:00:00
2024-01-01 09:00:00,87.8,66.2,48.84,270.0,10.0,1011.0,1.3,10.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-01 09:00:00
2024-01-01 09:30:00,86.0,66.2,51.72,270.0,10.0,1011.0,1.3,10.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-01 09:00:00
2024-01-01 10:00:00,86.0,64.4,48.58,270.0,8.0,1011.0,1.3,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-01 10:00:00
2024-01-01 10:30:00,87.8,64.4,45.88,280.0,7.0,1010.0,1.3,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-01 10:00:00
2024-01-01 11:00:00,86.0,66.2,51.72,260.0,7.0,1010.0,1.3,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-01 11:00:00
2024-01-01 11:30:00,87.8,66.2,48.84,280.0,8.0,1010.0,1.3,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-01 11:00:00
2024-01-01 12:00:00,84.2,68.0,58.32,320.0,4.0,1011.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,12,VOHS,True,2024-01-01 12:00:00
2024-01-01 12:30:00,84.2,66.2,54.8,320.0,6.0,1011.0,1.3,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,12,VOHS,True,2024-01-01 12:00:00
2024-01-01 13:00:00,84.2,66.2,54.8,320.0,6.0,1011.0,1.3,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,13,VOHS,True,2024-01-01 13:00:00
2024-01-01 13:30:00,82.4,68.0,61.81,320.0,6.0,1012.0,1.3,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,13,VOHS,True,2024-01-01 13:00:00
2024-01-01 14:00:00,82.4,68.0,61.81,320.0,6.0,1012.0,1.3,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,14,VOHS,True,2024-01-01 14:00:00
2024-01-01 14:30:00,80.6,68.0,65.54,310.0,4.0,1013.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,14,VOHS,True,2024-01-01 14:00:00
2024-01-01 15:00:00,80.6,68.0,65.54,310.0,5.0,1013.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,15,VOHS,True,2024-01-01 15:00:00
2024-01-01 15:30:00,80.6,69.8,69.71,300.0,3.0,1013.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,15,VOHS,True,2024-01-01 15:00:00
2024-01-01 16:00:00,82.4,66.2,58.08,350.0,6.0,1014.0,1.12,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,16,VOHS,True,2024-01-01 16:00:00
2024-01-01 16:30:00,80.6,68.0,65.54,360.0,5.0,1014.0,0.99,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,16,VOHS,True,2024-01-01 16:00:00
2024-01-01 16:31:00,80.6,68.0,65.54,360.0,5.0,1014.0,0.99,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,16,VOHS,True,2024-01-01 16:00:00
2024-01-01 17:00:00,80.6,66.2,61.58,130.0,4.0,1014.0,1.12,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,17,VOHS,True,2024-01-01 17:00:00
2024-01-01 17:30:00,80.6,64.4,57.84,340.0,5.0,1014.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,17,VOHS,True,2024-01-01 17:00:00
2024-01-01 18:00:00,80.6,66.2,61.58,40.0,4.0,1013.0,0.99,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,18,VOHS,True,2024-01-01 18:00:00
2024-01-01 18:30:00,80.6,66.2,61.58,0.0,0.0,1013.0,0.99,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,18,VOHS,True,2024-01-01 18:00:00
2024-01-01 19:00:00,78.8,66.2,65.33,340.0,3.0,1013.0,0.99,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,19,VOHS,True,2024-01-01 19:00:00
2024-01-01 19:30:00,78.8,66.2,65.33,10.0,3.0,1012.0,0.99,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,19,VOHS,True,2024-01-01 19:00:00
2024-01-01 20:00:00,77.0,66.2,69.33,0.0,0.0,1012.0,0.99,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,20,VOHS,True,2024-01-01 20:00:00
2024-01-01 20:30:00,77.0,66.2,69.33,0.0,0.0,1012.0,0.99,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,20,VOHS,True,2024-01-01 20:00:00
2024-01-01 21:00:00,77.0,68.0,73.78,30.0,5.0,1012.0,0.99,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,21,VOHS,True,2024-01-01 21:00:00
2024-01-01 21:30:00,77.0,68.0,73.78,20.0,4.0,1012.0,0.99,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,21,VOHS,True,2024-01-01 21:00:00
2024-01-01 22:00:00,77.0,66.2,69.33,30.0,3.0,1012.0,0.99,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,22,VOHS,True,2024-01-01 22:00:00
2024-01-01 22:30:00,75.2,66.2,73.61,20.0,4.0,1012.0,0.99,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,22,VOHS,True,2024-01-01 22:00:00
2024-01-01 23:00:00,77.0,64.4,65.12,60.0,4.0,1012.0,0.99,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,23,VOHS,True,2024-01-01 23:00:00
2024-01-01 23:30:00,77.0,66.2,69.33,140.0,3.0,1012.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,23,VOHS,True,2024-01-01 23:00:00
2024-01-02 00:00:00,75.2,66.2,73.61,0.0,0.0,1012.0,1.12,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,0,VOHS,True,2024-01-02 00:00:00
2024-01-02 00:30:00,75.2,66.2,73.61,100.0,4.0,1012.0,0.99,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,0,VOHS,True,2024-01-02 00:00:00
2024-01-02 01:00:00,75.2,66.2,73.61,140.0,3.0,1012.0,0.99,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-02 01:00:00
2024-01-02 01:30:00,75.2,66.2,73.61,140.0,4.0,1013.0,0.87,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-02 01:00:00
2024-01-02 02:00:00,77.0,66.2,69.33,180.0,3.0,1013.0,0.75,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-02 02:00:00
2024-01-02 02:30:00,77.0,66.2,69.33,140.0,4.0,1013.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-02 02:00:00
2024-01-02 03:00:00,77.0,66.2,69.33,50.0,5.0,1013.0,0.75,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-02 03:00:00
2024-01-02 03:30:00,78.8,66.2,65.33,40.0,4.0,1014.0,0.75,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-02 03:00:00
2024-01-02 04:00:00,78.8,64.4,61.36,30.0,6.0,1014.0,0.75,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,4,VOHS,True,2024-01-02 04:00:00
2024-01-02 04:30:00,80.6,66.2,61.58,10.0,4.0,1014.0,0.93,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,4,VOHS,True,2024-01-02 04:00:00
2024-01-02 05:00:00,82.4,64.4,54.55,20.0,5.0,1014.0,0.99,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,5,VOHS,True,2024-01-02 05:00:00
2024-01-02 05:30:00,84.2,62.6,48.32,0.0,0.0,1013.0,0.99,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,5,VOHS,True,2024-01-02 05:00:00
2024-01-02 06:00:00,86.0,64.4,48.58,150.0,6.0,1013.0,1.06,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,6,VOHS,True,2024-01-02 06:00:00
2024-01-02 06:30:00,89.6,64.4,43.34,200.0,3.0,1013.0,1.06,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,6,VOHS,True,2024-01-02 06:00:00
2024-01-02 07:00:00,86.0,68.0,55.04,270.0,8.0,1012.0,1.06,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,7,VOHS,True,2024-01-02 07:00:00
2024-01-02 07:30:00,86.0,68.0,55.04,260.0,7.0,1011.0,1.06,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,7,VOHS,True,2024-01-02 07:00:00
2024-01-02 08:00:00,86.0,68.0,55.04,230.0,6.0,1011.0,1.06,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-02 08:00:00
2024-01-02 08:30:00,87.8,68.0,51.98,270.0,7.0,1010.0,1.06,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-02 08:00:00
2024-01-02 09:00:00,86.0,68.0,55.04,240.0,8.0,1010.0,1.06,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-02 09:00:00
2024-01-02 09:30:00,87.8,68.0,51.98,270.0,9.0,1010.0,0.99,9.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-02 09:00:00
2024-01-02 10:00:00,86.0,68.0,55.04,280.0,9.0,1010.0,0.99,9.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-02 10:00:00
2024-01-02 10:30:00,86.0,68.0,55.04,300.0,10.0,1010.0,1.12,10.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-02 10:00:00
2024-01-02 11:00:00,86.0,68.0,55.04,290.0,9.0,1010.0,1.12,9.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-02 11:00:00
2024-01-02 11:30:00,84.2,68.0,58.32,330.0,7.0,1010.0,1.12,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-02 11:00:00
2024-01-02 12:00:00,82.4,69.8,65.74,320.0,8.0,1010.0,0.99,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,12,VOHS,True,2024-01-02 12:00:00
2024-01-02 12:30:00,82.4,69.8,65.74,330.0,7.0,1010.0,0.99,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,12,VOHS,True,2024-01-02 12:00:00
2024-01-02 13:00:00,82.4,68.0,61.81,360.0,5.0,1011.0,0.99,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,13,VOHS,True,2024-01-02 13:00:00
2024-01-02 13:30:00,80.6,69.8,69.71,310.0,7.0,1011.0,0.99,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,13,VOHS,True,2024-01-02 13:00:00
2024-01-02 14:00:00,80.6,68.0,65.54,350.0,7.0,1012.0,0.99,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,14,VOHS,True,2024-01-02 14:00:00
2024-01-02 14:30:00,80.6,64.4,57.84,340.0,10.0,1012.0,0.99,10.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,14,VOHS,True,2024-01-02 14:00:00
2024-01-02 15:00:00,78.8,62.6,57.6,360.0,6.0,1013.0,1.12,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,15,VOHS,True,2024-01-02 15:00:00
2024-01-02 15:30:00,78.8,62.6,57.6,340.0,8.0,1013.0,1.12,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,15,VOHS,True,2024-01-02 15:00:00
2024-01-02 16:00:00,78.8,59.0,50.69,350.0,7.0,1013.0,1.3,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,16,VOHS,True,2024-01-02 16:00:00
2024-01-02 16:30:00,78.8,57.2,47.52,30.0,6.0,1013.0,1.37,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,16,VOHS,True,2024-01-02 16:00:00
2024-01-02 17:00:00,78.8,57.2,47.52,10.0,5.0,1013.0,1.37,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,17,VOHS,True,2024-01-02 17:00:00
2024-01-02 17:30:00,78.8,55.4,44.52,100.0,4.0,1013.0,1.37,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,17,VOHS,True,2024-01-02 17:00:00
2024-01-02 18:00:00,78.8,55.4,44.52,100.0,3.0,1013.0,1.37,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,18,VOHS,True,2024-01-02 18:00:00
2024-01-02 18:30:00,77.0,60.8,57.36,90.0,4.0,1013.0,1.37,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,18,VOHS,True,2024-01-02 18:00:00
2024-01-02 19:00:00,78.8,59.0,50.69,0.0,0.0,1013.0,1.3,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,19,VOHS,True,2024-01-02 19:00:00
2024-01-02 19:30:00,77.0,59.0,53.8,340.0,3.0,1012.0,1.3,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,19,VOHS,True,2024-01-02 19:00:00
2024-01-02 20:00:00,77.0,59.0,53.8,0.0,0.0,1012.0,1.3,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,20,VOHS,True,2024-01-02 20:00:00
2024-01-02 20:30:00,77.0,59.0,53.8,340.0,4.0,1012.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,20,VOHS,True,2024-01-02 20:00:00
2024-01-02 21:00:00,77.0,59.0,53.8,330.0,5.0,1012.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,21,VOHS,True,2024-01-02 21:00:00
2024-01-02 21:30:00,77.0,59.0,53.8,0.0,0.0,1012.0,1.3,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,21,VOHS,True,2024-01-02 21:00:00
2024-01-02 22:00:00,75.2,59.0,57.12,20.0,3.0,1011.0,1.3,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,22,VOHS,True,2024-01-02 22:00:00
2024-01-02 22:30:00,75.2,59.0,57.12,350.0,3.0,1011.0,1.3,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,22,VOHS,True,2024-01-02 22:00:00
2024-01-02 23:00:00,75.2,60.8,60.9,140.0,4.0,1011.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,23,VOHS,True,2024-01-02 23:00:00
2024-01-02 23:30:00,73.4,59.0,60.67,0.0,0.0,1011.0,1.3,0.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,23,VOHS,True,2024-01-02 23:00:00
2024-01-03 00:00:00,75.2,60.8,60.9,50.0,3.0,1011.0,1.3,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,0,VOHS,True,2024-01-03 00:00:00
2024-01-03 00:30:00,75.2,64.4,69.14,50.0,4.0,1011.0,1.3,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,0,VOHS,True,2024-01-03 00:00:00
2024-01-03 01:00:00,75.2,64.4,69.14,160.0,5.0,1012.0,1.3,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-03 01:00:00
2024-01-03 01:30:00,73.4,64.4,73.44,50.0,3.0,1012.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,1,VOHS,True,2024-01-03 01:00:00
2024-01-03 02:00:00,73.4,64.4,73.44,90.0,3.0,1012.0,0.93,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-03 02:00:00
2024-01-03 02:30:00,75.2,66.2,73.61,20.0,3.0,1012.0,0.75,3.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,2,VOHS,True,2024-01-03 02:00:00
2024-01-03 03:00:00,75.2,66.2,73.61,50.0,4.0,1013.0,0.75,4.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-03 03:00:00
2024-01-03 03:30:00,75.2,64.4,69.14,10.0,3.0,1013.0,0.81,3.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,3,VOHS,True,2024-01-03 03:00:00
2024-01-03 04:00:00,77.0,66.2,69.33,10.0,3.0,1013.0,0.87,3.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,4,VOHS,True,2024-01-03 04:00:00
2024-01-03 04:30:00,80.6,68.0,65.54,0.0,0.0,1014.0,0.81,0.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,4,VOHS,True,2024-01-03 04:00:00
2024-01-03 05:00:00,82.4,68.0,61.81,0.0,0.0,1013.0,0.81,0.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,5,VOHS,True,2024-01-03 05:00:00
2024-01-03 05:30:00,84.2,66.2,54.8,160.0,5.0,1013.0,0.81,5.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,5,VOHS,True,2024-01-03 05:00:00
2024-01-03 06:00:00,84.2,66.2,54.8,100.0,5.0,1013.0,0.93,5.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,6,VOHS,True,2024-01-03 06:00:00
2024-01-03 06:30:00,84.2,68.0,58.32,270.0,6.0,1012.0,0.93,6.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,6,VOHS,True,2024-01-03 06:00:00
2024-01-03 07:00:00,84.2,68.0,58.32,280.0,7.0,1011.0,0.81,7.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,7,VOHS,True,2024-01-03 07:00:00
2024-01-03 07:30:00,86.0,69.8,58.55,280.0,8.0,1011.0,0.87,8.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,HZ,7,VOHS,True,2024-01-03 07:00:00
2024-01-03 08:00:00,86.0,68.0,55.04,260.0,10.0,1010.0,0.99,10.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-03 08:00:00
2024-01-03 08:30:00,86.0,69.8,58.55,280.0,7.0,1010.0,0.99,7.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,8,VOHS,True,2024-01-03 08:00:00
2024-01-03 09:00:00,86.0,68.0,55.04,270.0,8.0,1009.0,0.99,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-03 09:00:00
2024-01-03 09:30:00,86.0,68.0,55.04,300.0,6.0,1009.0,1.12,6.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,9,VOHS,True,2024-01-03 09:00:00
2024-01-03 10:00:00,86.0,68.0,55.04,280.0,8.0,1009.0,1.12,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-03 10:00:00
2024-01-03 10:30:00,86.0,68.0,55.04,290.0,8.0,1009.0,1.12,8.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,10,VOHS,True,2024-01-03 10:00:00
2024-01-03 11:00:00,84.2,69.8,62.03,290.0,9.0,1009.0,1.3,9.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-03 11:00:00
2024-01-03 11:30:00,82.4,68.0,61.81,300.0,7.0,1009.0,1.12,7.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,FU,11,VOHS,True,2024-01-03 11:00:00
2024-01-03 12:00:00,82.4,68.0,61.81,320.0,8.0,1009.0,1.12,8.0,FEW,CLR,CLR,CLR,10000.0,0.0,0.0,0.0,FU,12,VOHS,True,2024-01-03 12:00:00
2024-01-03 12:30:00,80.6,69.8,69.71,310.0,7.0,1009.0,1.12,7.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,12,VOHS,True,2024-01-03 12:00:00
2024-01-03 13:00:00,80.6,68.0,65.54,330.0,5.0,1010.0,1.12,5.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,13,VOHS,True,2024-01-03 13:00:00
2024-01-03 13:30:00,80.6,68.0,65.54,310.0,4.0,1010.0,1.12,4.0,FEW,CLR,CLR,CLR,2000.0,0.0,0.0,0.0,HZ,13,VOHS,True,2024-01-03 13:00:00
2024-01-03 14:00:00,80.6,68.0,65.54,350.0,5.0,1010.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,14,VOHS,True,2024-01-03 14:00:00
2024-01-03 14:30:00,78.8,68.0,69.52,310.0,5.0,1011.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,14,VOHS,True,2024-01-03 14:00:00
2024-01-03 15:00:00,80.6,69.8,69.71,340.0,5.0,1011.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,15,VOHS,True,2024-01-03 15:00:00
2024-01-03 15:30:00,78.8,69.8,73.95,340.0,5.0,1011.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,15,VOHS,True,2024-01-03 15:00:00
2024-01-03 16:00:00,78.8,69.8,73.95,330.0,3.0,1012.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,16,VOHS,True,2024-01-03 16:00:00
2024-01-03 16:30:00,78.8,69.8,73.95,360.0,3.0,1011.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,16,VOHS,True,2024-01-03 16:00:00
2024-01-03 17:00:00,78.8,69.8,73.95,20.0,5.0,1012.0,1.12,5.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,17,VOHS,True,2024-01-03 17:00:00
2024-01-03 17:30:00,78.8,68.0,69.52,330.0,3.0,1012.0,1.12,3.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,17,VOHS,True,2024-01-03 17:00:00
2024-01-03 18:00:00,78.8,69.8,73.95,20.0,4.0,1012.0,1.12,4.0,NSC,CLR,CLR,CLR,0.0,0.0,0.0,0.0,HZ,18,VOHS,True,2024-01-03 18:00:00
